"from","to","weight"
1,3,93
2,9,75
3,9,72
3,2,65
4,8,47
5,4,42
6,7,38
7,12,33
8,14,31
9,5,23
10,44,23
9,4,22
9,15,19
11,9,18
12,9,18
9,13,17
9,8,17
13,5,16
9,63,15
14,18,15
3,3,14
15,11,13
16,7,13
17,21,13
18,17,12
18,7,12
7,2,12
9,34,11
3,64,11
19,45,11
7,9,11
9,25,10
9,14,10
20,65,10
12,3,10
21,6,10
14,6,10
18,6,10
22,3,9
23,3,9
7,63,9
3,22,8
24,1,8
25,8,8
26,3,8
27,66,8
9,38,7
3,32,7
28,25,7
29,8,7
30,67,7
31,37,7
32,35,7
15,30,7
1,9,7
6,63,7
33,1,7
2,3,7
34,5,7
25,5,7
35,9,7
36,68,7
37,26,7
38,53,7
39,2,7
17,6,7
7,3,7
5,29,6
40,41,6
41,69,6
42,46,6
43,47,6
44,6,6
45,20,6
46,19,6
47,51,6
48,1,6
34,9,6
49,70,6
50,15,6
51,42,6
52,39,6
53,55,6
54,71,6
55,40,6
17,18,6
56,9,6
57,54,6
9,7,5
3,72,5
3,73,5
3,56,5
29,74,5
4,63,5
4,5,5
4,10,5
45,75,5
58,1,5
6,76,5
59,1,5
60,3,5
61,1,5
62,77,5
62,78,5
